sample_name,mgrast_id,biome,collection_date,country,env_package,feature,latitude,location,longitude,material,collection_time,collection_timezone,altitude,depth,elevation,samp_size,ANONYMIZED_NAME,DESCRIPTION,PLATFORM,REGION,SAMPLE_CENTER,TAXON_ID,TITLE,assigned_from_geo,common_sample_site,days_since_epoch,host_individual,mislabeled,public,sample_id
Unique name or id of the sample,,"The environmental biome represents the major classes of ecologically similar communities of plants, animals, and other organisms. Biomes are defined based on factors such as plant structures, leaf types, plant spacing, and other factors like climate. Examples include: desert, taiga, deciduous woodland, or coral reef. EnvO terms listed under environmental biome can be found from the link: http://purl.obolibrary.org/obo/ENVO_01000254","The date of sampling. Use ISO8601 compliant format, ie. 2008-01-23",The geographical origin of the sample as defined by the country or sea name. Country or sea names should be chosen from the INSDC country list: http://insdc.org/country.html,"MIGS/MIMS/MIMARKS extension for reporting of measurements and observations obtained from one or more of the environments where the sample was obtained. Use one of: air,  built environment, host-associated, human-associated, human-oral, human-gut, human-skin, human-vaginal, microbial mat|biofilm, miscellaneous, plant-associated, sediment, soil, wastewater|sludge, water","Environmental feature level includes geographic environmental features. Examples include: harbor, cliff, or lake. EnvO terms listed under environmental feature can be found from the link: http://purl.obolibrary.org/obo/ENVO_00002297",The geographical origin of the sample as defined by latitude. The value should be reported in decimal degrees and in WGS84 system,The geographical origin of the sample as defined by the specific local region name,The geographical origin of the sample as defined by longitude. The value should be reported in decimal degrees and in WGS84 system,"The environmental material level refers to the matter that was displaced by the sample, prior to the sampling event. Environmental matter terms are generally mass nouns. Examples include: air, soil, or water. EnvO terms listed under environmental matter can be found from the link: http://purl.obolibrary.org/obo/ENVO_00010483","The local time of sampling.  Use ISO8601 compliant format, ie. 19:23:10","The timezone of sampling.  Use ISO8601 compliant format, ie. UTC-7",The altitude of the sample is the vertical distance in meters between Earth's surface above Sea Level and the sampled position in the air.,"Depth is defined as the vertical distance in meters below surface, e.g. for sediment or soil samples depth is measured from sediment or soil surface, respectivly.",The elevation of the sampling site in meters as measured by the vertical distance from mean sea level.,"Amount or size of sample (volume, mass or area) that was collected, along with the unit used","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here","any other measurement performed or parameter collected, that is not listed here",Internal ID of sample
L3S235,mgs22926,human-associated habitat,2008-10-21,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_884,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14173,F4,n,y,qiime:227217
L3S236,mgs23358,human-associated habitat,2008-10-22,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_885,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14174,F4,n,y,qiime:227606
L3S237,mgs24243,human-associated habitat,2008-10-23,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_886,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14175,F4,n,y,qiime:228403
L3S238,mgs22241,human-associated habitat,2008-10-24,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_887,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14176,F4,n,y,qiime:226601
L3S239,mgs24209,human-associated habitat,2008-10-25,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_888,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14177,F4,n,y,qiime:228373
L3S24,mgs23593,human-associated habitat,2009-05-09,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_889,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,L_palm,14373,M3,n,y,qiime:227818
L3S240,mgs22257,human-associated habitat,2008-10-26,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_890,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14178,F4,n,y,qiime:226615
L3S241,mgs22336,human-associated habitat,2008-10-27,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_891,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14179,F4,n,y,qiime:226686
L3S242,mgs24046,human-associated habitat,2008-10-28,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_892,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14180,F4,y,y,qiime:228225
L3S243,mgs23769,human-associated habitat,2008-10-29,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_893,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14181,F4,n,y,qiime:227977
L3S244,mgs23363,human-associated habitat,2008-10-30,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_894,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14182,F4,n,y,qiime:227611
L3S245,mgs22175,human-associated habitat,2008-10-31,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_895,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14183,F4,n,y,qiime:226542
L3S246,mgs23049,human-associated habitat,2008-11-01,United States of America,host-associated,human-associated habitat,40.0149856,,-105.2705456,human-associated habitat,,,0.0,0,1624.097656,1 swab,sample_896,Moving_pictures_of_the_human_microbiome,Illumina,L3,CCME,9606,Moving_pictures_of_the_human_microbiome,n,R_palm,14184,F4,n,y,qiime:227328
